Sample_No,Site,Date,avg_n1,QDI_n1,avg_PMMoV,QDI_PMMoV
1227,MSD02,6/2/21,2.084304791,88,53448.04712,1
1230,MSD03,6/2/21,2.85599268,88,69574.07582,1
1232,MSD04,6/2/21,2.544652345,88,71190.97715,1
1233,MSD05,6/2/21,2.488386096,88,50487.46643,1
44349,MSD01,6/2/21,1.502631049,88,32415.54925,1
1243,MSD02,6/7/21,3.353246945,88,49701.26023,1
1246,MSD03,6/7/21,2.558069066,88,44185.68115,1
1248,MSD04,6/7/21,2.709655474,88,65141.60682,1
1249,MSD05,6/7/21,1.364728414,88,65786.3435,1
44354,MSD01,6/7/21,1.291201162,88,9495.464773,1
1259,MSD02,6/9/21,3.270013976,88,32341.6874,1
1262,MSD03,6/9/21,1.831691168,88,53389.0059,1
1264,MSD04,6/9/21,7.659964838,1,39145.47553,1
1265,MSD05,6/9/21,2.552076159,88,45742.40653,1
44356,MSD01,6/9/21,1.440259278,88,17098.90374,1
1275,MSD02,6/14/21,11.99803328,1,44520.55194,1
1278,MSD03,6/14/21,98.82119639,1,45393.95849,1
1280,MSD04,6/14/21,4.645108758,88,46377.55397,1
1281,MSD05,6/14/21,5.19852983,88,78685.30247,1
1291,MSD02,6/16/21,3.270608577,88,30300.49979,1
1296,MSD04,6/16/21,7.114154667,88,65413.09809,1
44363,MSD01,6/16/21,1.841856835,88,8542.471553,1
1307,MSD02,6/21/21,1.607670979,88,30640.63768,1
1312,MSD04,6/21/21,3.338338432,88,55353.76391,1
1323,MSD02,6/23/21,4.812021292,88,41833.84241,1
1326,MSD03,6/23/21,3.383124017,88,30412.47174,1
1328,MSD04,6/23/21,4.337333637,88,56847.39165,1
1329,MSD05,6/23/21,9.211789723,1,48606.61254,1
44370,MSD01,6/23/21,1.733856456,88,20655.19351,1
1339,MSD02,6/28/21,3.046076085,88,31762.28771,1
1342,MSD03,6/28/21,2.047961957,88,17991.26874,1
1344,MSD04,6/28/21,2.912394193,88,48666.37634,1
1345,MSD05,6/28/21,2.597043647,88,52070.90772,1
1355,MSD02,6/30/21,4.700051807,88,42319.54574,1
1358,MSD03,6/30/21,2.946858209,88,62029.72484,1
1360,MSD04,6/30/21,4.152463529,88,50322.96057,1
1374,MSD03,7/5/21,3.698122219,88,27649.52703,1
1376,MSD04,7/5/21,4.698872564,88,70095.16238,1
44382,MSD01,7/5/21,3.031445588,88,25043.74937,1
1387,MSD02,7/7/21,53.05274723,1,36948.41672,1
1392,MSD04,7/7/21,4.648550925,88,36603.11093,1
1393,MSD05,7/7/21,4.726808402,88,76277.68129,1
44384,MSD01,7/7/21,3.479126425,88,44702.13928,1
1403,MSD02,7/12/21,4.991180031,88,38591.55707,1
1406,MSD03,7/12/21,5.383958338,88,39864.73382,1
1408,MSD04,7/12/21,6.078537422,88,41933.10386,1
1409,MSD05,7/12/21,2.685380073,88,19349.94126,1
44389,MSD01,7/12/21,1.51676447,88,10946.65462,1
1419,MSD02,7/14/21,9.248280914,1,81798.91354,1
1422,MSD03,7/14/21,1.219356228,88,19031.8232,1
1424,MSD04,7/14/21,12.73120796,1,167073.0657,1
1425,MSD05,7/14/21,26.44433762,1,33627.91372,1
44391,MSD01,7/14/21,1.455858874,88,15377.40778,1
1435,MSD02,7/19/21,65.77363544,1,83490.56392,1
1438,MSD03,7/19/21,31.42507459,1,95295.21517,1
1440,MSD04,7/19/21,15.31040986,1,62315.67261,1
1441,MSD05,7/19/21,15.30593554,1,83443.63372,1
1451,MSD02,7/21/21,39.79749404,1,40581.98328,1
1454,MSD03,7/21/21,40.96820676,1,60308.78662,1
1456,MSD04,7/21/21,50.87550175,1,49555.83246,1
1457,MSD05,7/21/21,5.071906853,88,20318.12621,1
44398,MSD01,7/21/21,20.07990877,1,32956.17702,1
1467,MSD02,7/26/21,8.696397204,1,2691.279792,1
1470,MSD03,7/26/21,8.588061639,1,3333.068034,1
1472,MSD04,7/26/21,12.4541364,1,6460.978682,1
1473,MSD05,7/26/21,26.1239694,1,5342.011669,1
44403,MSD01,7/26/21,5.073668827,88,4126.284948,1
1483,MSD02,7/28/21,24.77694406,1,40796.53414,1
1486,MSD03,7/28/21,22.4214617,1,18670.68671,1
1488,MSD04,7/28/21,6.100351961,88,24907.57028,1
1489,MSD05,7/28/21,10.97696059,1,26544.11855,1
44405,MSD01,7/28/21,1.684181287,88,3288.347391,1
1499,MSD02,8/2/21,12.53998073,1,3124.172936,1
1502,MSD03,8/2/21,48.77948636,1,9237.858258,1
1504,MSD04,8/2/21,15.4817091,1,10039.30408,1
1505,MSD05,8/2/21,16.12078722,1,6257.595519,1
44410,MSD01,8/2/21,10.81306173,1,2812.234676,1
1515,MSD02,8/4/21,38.30629635,1,132357.7476,1
1518,MSD03,8/4/21,30.52914691,1,76525.98225,1
1520,MSD04,8/4/21,31.59509759,1,93375.10968,1
1521,MSD05,8/4/21,43.92114973,1,95880.56467,1
